ID numero,Titolo,Anno,Volume numero,Luogo,Editore,Ultima pagina indicizzata,Slug,URL download numero,URL immagine copertina,Testo alternativo copertina,Stato WordPress,ID WordPress,URL pagina WordPress,In evidenza,Ordinamento,Stato dati,File sorgente,Note
ADS-1966-04,Almanacco della Sardegna 1966,1966,4,Cagliari,Associazione stampa sarda,249,almanacco-della-sardegna-1966,,,Copertina dell’Almanacco della Sardegna 1966,Bozza,,,Sì,1966,Da completare: URL mancanti,1966-Almanacco-della-Sardegna.docx,Dati estratti dal DOCX fornito; URL di download e copertina da compilare.
ADS-1968-6,Almanacco della Sardegna 1968,1968,6,Cagliari,Associazione Stampa Sarda,170,almanacco-della-sardegna-1968,,,Copertina dell’Almanacco della Sardegna 1968,Bozza,,,Sì,1968,Da completare: URL mancanti,1968-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1968"
ADS-1969-7,Almanacco della Sardegna 1969 Vent’anni di autonomia,1969,7,Cagliari,Associazione Stampa Sarda,222,almanacco-della-sardegna-1969,,,Copertina dell’Almanacco della Sardegna 1969,Bozza,,,Sì,1969,Da completare: URL mancanti,1969-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1969. A CURA DI Lucio Artizzu e Giovanni Sanjust"
ADS-1970-8,Almanacco della Sardegna 1970,1970,8,Cagliari,Associazione Stampa Sarda,325,almanacco-della-sardegna-1970,,,Copertina dell’Almanacco della Sardegna 1970,Bozza,,,Sì,1970,Da completare: URL mancanti,1970-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1970. A CURA DI Franco Fiori 1970-Almanacco-della-Sardegna-1(1).docx duplicato identico di 1970-Almanacco-della-Sardegna(1).docx; non inserito separatamente."
ADS-1971-9,Almanacco della Sardegna 1971,1971,9,Cagliari,Associazione Stampa Sarda,385,almanacco-della-sardegna-1971,,,Copertina dell’Almanacco della Sardegna 1971,Bozza,,,Sì,1971,Da completare: URL mancanti,1971-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1971. A CURA DI Franco Fiori"
ADS-1972-10,Almanacco della Sardegna 1972,1972,10,Cagliari,Associazione Stampa Sarda,404,almanacco-della-sardegna-1972,,,Copertina dell’Almanacco della Sardegna 1972,Bozza,,,Sì,1972,Da completare: URL mancanti,1972-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1972. A CURA DI Aldo Brigaglia"
ADS-1973-11,Almanacco della Sardegna 1973,1973,11,Cagliari,Associazione Stampa Sarda,270,almanacco-della-sardegna-1973,,,Copertina dell’Almanacco della Sardegna 1973,Bozza,,,Sì,1973,Da completare: URL mancanti,1973-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1973. A CURA DI Aldo Brigaglia"
ADS-1974-12,Almanacco della Sardegna 1974,1974,12,Cagliari,Associazione Stampa Sarda,319,almanacco-della-sardegna-1974,,,Copertina dell’Almanacco della Sardegna 1974,Bozza,,,Sì,1974,Da completare: URL mancanti,1974-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda (direttore: Sergio Calvi), 1974. A CURA DI Franco Fiori e Aldo Brigaglia"
ADS-1975-13,Almanacco della Sardegna 1975,1975,13,Cagliari,Associazione Stampa Sarda,418,almanacco-della-sardegna-1975,,,Copertina dell’Almanacco della Sardegna 1975,Bozza,,,Sì,1975,Da completare: URL mancanti,1975-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1975. A CURA DI Franco Fiori"
ADS-1976-14,Almanacco della Sardegna. I giornali sardi 1900/1940,1976,14,Cagliari,Associazione Stampa Sarda,302,almanacco-della-sardegna-1976,,,Copertina dell’Almanacco della Sardegna 1976,Bozza,,,Sì,1976,Da completare: URL mancanti,1976-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1976. A CURA DI Aldo Brigaglia e Gianfranco Leccis"
ADS-1977-78-15,"Almanacco della Sardegna. 1977/78 Un giornale, una storia L’esperienza di autogestione a Tuttoquotidiano negli atti della Conferenza di produzione",1977,15,Cagliari,Associazione Stampa Sarda,319,almanacco-della-sardegna-1977-78,,,Copertina dell’Almanacco della Sardegna 1977/78,Bozza,,,Sì,1977,Da completare: URL mancanti,1977.78-Almanacco-della-Sardegna(1).docx,"Edizione 1977/78. Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1977/78. A CURA DI Aldo Brigaglia e Gianfranco Leccis"
ADS-1979-16,Almanacco della Sardegna 1979 L’informazione e la regione. Giornali e giornalisti in trent’anni di dibattiti al Consiglio regionale.,1979,16,Sassari,Associazione Stampa Sarda,460,almanacco-della-sardegna-1979,,,Copertina dell’Almanacco della Sardegna 1979,Bozza,,,Sì,1979,Da completare: URL mancanti,1979-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Sassari. Associazione Stampa Sarda, 1979 (novembre). A CURA DI Aldo Brigaglia e Roberto Puddu"
ADS-1980-17,Almanacco della Sardegna 1980 Giornalismo e tecnologie,1980,17,Cagliari,Associazione Stampa Sarda,307,almanacco-della-sardegna-1980,,,Copertina dell’Almanacco della Sardegna 1980,Bozza,,,Sì,1980,Da completare: URL mancanti,1980-Almanacco-della-Sardegna(1).docx,"Dati estratti dal DOCX fornito. Riferimento editoriale: Cagliari. Associazione Stampa Sarda, 1980. A CURA DI Franco Fiori"
